true negative, false positive, false negative, true positive, precision,vpn precision, recall,vpn recall, f1-score, vpn f1-score, accuracy, cv accuracy, auc, cv auc
56168,1641,2052,4816,0.9647543799381656,0.7458572092302928,0.9716134165960317,0.7012230634828188,0.9681717501659067,0.7228517823639775,0.9429008766640382,0.8864370377501511,0.8364182400394252,0.8374508438203943
56200,1543,2098,4836,0.9640124875638958,0.7581125568270889,0.9732781462688118,0.6974329391404672,0.9686231590558508,0.7265079245849921,0.9437048719019125,0.8853609507361713,0.8353555427046395,0.8406297258660509
56291,1592,1952,4842,0.9664852428618032,0.7525645010879701,0.9724962424200543,0.7126876655872829,0.9694814253483285,0.7320834593286966,0.9452046322494859,0.8872487310109547,0.8425919540036686,0.8377476165101175
56234,1568,2016,4859,0.9653905579399141,0.7560292515948343,0.9728729109719387,0.7067636363636364,0.9691172922483023,0.73056683205533,0.9445861743741979,0.8872858328891743,0.8398182736677876,0.8423717721111098
56227,1518,2062,4870,0.964624543224279,0.7623669380087664,0.9737120096978094,0.7025389497980381,0.9691469741627454,0.7312312312312313,0.9446480201617268,0.8851940038999657,0.8381254797479237,0.8392126753928757
56196,1509,2068,4904,0.9645063847315667,0.764696709808202,0.9738497530543281,0.7033849684452094,0.969155550190137,0.7327605528576765,0.9446944045023733,0.885272848890273,0.8386173607497688,0.8402149316309563
56275,1560,1982,4860,0.9659783373671833,0.7570093457943925,0.9730267139275525,0.710318620286466,0.9694897150535782,0.7329211280349871,0.9452355551432503,0.8848460907941748,0.8416726671070093,0.8375609374106666
56216,1581,2038,4842,0.9650152779208294,0.7538533395609528,0.9726456390470094,0.7037790697674419,0.9688154345934116,0.7279561001277908,0.944045023733321,0.8880789670348813,0.8382123544072256,0.8348898469820355
56260,1530,2025,4862,0.9652569271682251,0.7606382978723404,0.9735248312856896,0.7059677653550167,0.9693732500538446,0.7322840575344528,0.9450345563337818,0.8869286532422885,0.8397462983203531,0.8371883418276516
56407,1496,1938,4836,0.9667837860999229,0.7637397346809854,0.9741636875464138,0.7139061116031886,0.9704597068336659,0.7379826033877613,0.9469053914065279,0.8851058687037818,0.8440348995748012,0.8428950797994725
56493,1525,1954,4705,0.9665680017793898,0.7552166934189406,0.9737150539487746,0.7065625469289684,0.9701283647447732,0.7300799131041973,0.9462096262968288,0.8839834087528713,0.8401388004388713,0.8368923149459503
56163,1621,1938,4955,0.9666442918366294,0.7534975669099757,0.9719472518344179,0.7188452052807196,0.96928851879018,0.7357636053159107,0.9449727105462529,0.8866550497465256,0.8453962285575687,0.8384421159602905
56318,1570,1962,4827,0.9663349347975292,0.7545724558386744,0.9728786622443338,0.7110030932390632,0.9695957578679153,0.7321401486424995,0.9453901696120723,0.8868869557442064,0.8419408777416985,0.8384331103822215
56298,1516,2092,4771,0.9641719472512417,0.7588675043741053,0.9737779776524718,0.6951770362815095,0.9689511548655813,0.7256273764258556,0.9442150996490252,0.8849573972910534,0.8344775069669906,0.8417648799720743
56340,1554,1970,4813,0.966215057451552,0.7559290089524109,0.9731578401906933,0.7095680377414123,0.9696740215483116,0.7320152091254752,0.9455138611871299,0.8869147809697168,0.8413629389660527,0.839043101533367
56268,1590,2058,4761,0.9647155642423619,0.7496457250826641,0.972518925645546,0.6981962164540255,0.9686015286097914,0.723006833712984,0.9435966417737371,0.887285822132178,0.8353575710497858,0.8369216991017275
56319,1518,2029,4811,0.9652258860629328,0.7601516827302891,0.9737538254058821,0.7033625730994152,0.9694711021216165,0.730655326904093,0.9451582479088393,0.8857830000443332,0.8385581992526487,0.8359971682784014
56214,1570,2009,4884,0.9654947357573468,0.7567400061977069,0.9728298490931746,0.7085449006238212,0.9691484134578086,0.7318498538997528,0.9446634816086089,0.8838905776789112,0.8406873748584979,0.8427169529490041
56232,1620,2041,4784,0.9649752029241673,0.7470331043098064,0.9719975108898569,0.700952380952381,0.9684736275565123,0.723259505631567,0.9433956429642686,0.8858108340911522,0.8364749459211189,0.8397742660962267
56408,1488,2037,4744,0.9651467191376508,0.7612323491655969,0.9742987425728893,0.6996018286388438,0.969701137174341,0.7291170368093445,0.9454983997402477,0.8872811972532164,0.8369502856058664,0.8386821827433494
56340,1591,2001,4745,0.9657016506402015,0.748895202020202,0.972536293176365,0.7033797806107323,0.9691069217008393,0.725424247057025,0.9444624827991404,0.8844843241328164,0.8379580368935488,0.8389874555768337
56259,1504,2077,4837,0.9643959133296763,0.7628134363665037,0.9739625711960944,0.6995950245877929,0.9691556344154558,0.7298377970577141,0.9446325587148445,0.8842338605268629,0.8367787978919436,0.8385489522185938
56207,1545,1981,4944,0.9659551797621503,0.7619047619047619,0.9732476797340351,0.7139350180505415,0.9695877177850613,0.7371403011778738,0.9454829382933655,0.8854444550275173,0.8435913488922883,0.8372721593516639
56293,1514,1962,4908,0.9663204875118016,0.7642478978511367,0.973809400245645,0.714410480349345,0.9700504902552085,0.7384893168823351,0.9462560106374754,0.8859268164582185,0.844109940297495,0.834478761192158
56194,1601,2077,4805,0.9643561977656124,0.7500780518264127,0.9722986417510165,0.6981981981981982,0.9683111333206968,0.723208910295003,0.9431327983672713,0.88505024234962,0.8352484199746074,0.8390095890485405
56170,1557,2005,4945,0.9655350236355823,0.7605352199323285,0.973028219030956,0.7115107913669064,0.9692671394799055,0.7352066607195955,0.9449263262056063,0.8888535556189389,0.8422695051989312,0.8384579965443271
56166,1573,2029,4909,0.9651344617235158,0.7573279851897563,0.9727567155648695,0.7075526088209859,0.9689305984439422,0.7315946348733233,0.9443078683303183,0.8821744528121315,0.8401546621929278,0.8391880183655284
56212,1567,2113,4785,0.9637719674239177,0.7533060453400504,0.9728794198584261,0.6936793273412584,0.9683042789223454,0.7222641509433962,0.9431018754735068,0.8851661689924037,0.8332793735998423,0.8375104594110336
56287,1525,1998,4867,0.9657201681393154,0.7614205256570713,0.973621393482322,0.7089584850691916,0.9696546853062525,0.7342536018707098,0.9455293226340121,0.8856438360496973,0.8412899392757568,0.8389021156250017
56191,1590,2082,4814,0.9642716180735503,0.7517176764522173,0.9724823038715149,0.6980858468677494,0.968359556758061,0.7239097744360903,0.9432255670485644,0.8859686090510767,0.8352840753696322,0.8414083226517471
56193,1577,2033,4874,0.965084326589496,0.7555417764687645,0.9727020945127228,0.7056609237005936,0.9688782371805923,0.729749962569247,0.9441841767552608,0.8853098888050294,0.8391815091066583,0.83632035291602
56243,1519,2095,4820,0.9640885871987384,0.7603722984697902,0.9737024341262421,0.6970354302241504,0.9688716623600344,0.7273275992153311,0.944122330967732,0.8867338510593736,0.8353689321751963,0.8384235720783728
